"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"eventname","String","60","Required","The event name for which the data was collected","","e.g., Pre-Task, Post-Intervention",""
"ksads_pd_raw_1768_p","Integer","","Recommended","Feeling that things aren't real","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1756_p","Integer","","Recommended","Over the past 2 weeks, how often has your child worried about having another attack, or about something bad happening because of the attacks?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_pd_raw_1757_p","Integer","","Recommended","In the past two weeks, how often has your child not gone out, gone out less often, or done anything else differently because of the attacks?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_pd_raw_1758_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.5.5.Q1')","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1759_p","Integer","","Recommended","Are the attacks related to drug use?","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1761_p","Integer","","Recommended","Shortness of breath","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1762_p","Integer","","Recommended","Dizziness","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1763_p","Integer","","Recommended","Heart palpitations","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1764_p","Integer","","Recommended","Shaking","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1765_p","Integer","","Recommended","Sweating","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1766_p","Integer","","Recommended","Choking","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1767_p","Integer","","Recommended","Nausea","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1755_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Fear of losing control","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1769_p","Integer","","Recommended","Numbness","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1770_p","Integer","","Recommended","Heat or chills","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1771_p","Integer","","Recommended","Chest pain","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1772_p","Integer","","Recommended","Fear of dying","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1773_p","Integer","","Recommended","Fear of losing control","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1774_p","Integer","","Recommended","After your child's first attack, or after your child's first few attacks, did he or she worry about having another attack, or about something bad happening because of the attacks?","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1775_p","Integer","","Recommended","After your child's first attack, or after your child's first few attacks, did he or she stop going out or go out less often, or do anything else differently because of them?","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1776_p","Integer","","Recommended","dbo.GetDynamicQuestion('2.5.5.Q2')","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1777_p","Integer","","Recommended","Were the attacks related to drug use?","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1778_p","String","60","Recommended","For how long did your child have panic attacks back then? Please enter weeks, months, or years.","","",""
"ksads_pd_raw_1754_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Fear of dying","0;1","0=No; 1=Yes",""
"ksads_pd_raw_176_p","Integer","","Recommended","In the past two weeks, has your child had any panic attacks where for no reason at all he or she suddenly felt super scared and like he or she was having a heart attack?","0::4","0=Not at all; 1=Rarely; 2=Several days; 3=More than half the days; 4=Nearly every day",""
"ksads_pd_raw_177_p","String","60","Recommended","When did this begin?","","",""
"ksads_pd_raw_178_p","Integer","","Recommended","Was there ever a time that your child had a lot of panic attacks?","0;1","0=No; 1=Yes",""
"ksads_pd_raw_179_p","Integer","","Recommended","Was there ever another time that your child had a lot of panic attacks?","0;1","0=No; 1=Yes",""
"ksads_pd_raw_180_p","String","60","Recommended","When was that? If this happened more than once, think of the time that was the worst.","","",""
"ksads_pd_raw_1743_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Shortness of breath","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1744_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Dizziness","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1745_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Heart palpitations","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1746_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Shaking","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1747_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Sweating","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1748_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Choking","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1749_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Nausea","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1750_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Feeling that things arenÃ¢ÂÂt real","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1751_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Numbness","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1752_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Heat or chills","0;1","0=No; 1=Yes",""
"ksads_pd_raw_1753_p","Integer","","Recommended","Before you said your child sometimes has panic attacks, where for no reason he or she suddenly feel super scared, like they are having a heart attack. When your child has panic attacks, does he or she experience any of the following?Chest pain","0;1","0=No; 1=Yes",""
"p2smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: dizziness (vertigo)? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p3sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: palpitations? Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p3smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: palpitations? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p4sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: trembling or shaking? Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p4smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: trembling or shaking? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p5sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: sweating? Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p5smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: sweating? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p6sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: choking? Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p6smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: choking? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p7sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: nausea or abdominal distress? Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p7smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: nausea or abdominal distress? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p8sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: depersonalization/derealization? Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p8smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: depersonalization/derealization? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p9sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: numbness/tingling?  Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p9smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: numbness/tingling?  Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p10sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: heat or chills? Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p10smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: heat or chills? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p11sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: chest pains? Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p11smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: chest pains? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"p12sce_v2_v3","Integer","","Recommended","When you have panic attacks do you have: fear of dying? Current","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
"end_pd","Integer","","Recommended","Select the appropriate response: The participant and/or the parent endorsed criteria and/or symptoms for this section of the K-SADS-PL (Agoraphobia).","0;1","0= False; 1= True",""
"p12smsp_v2_v3","Integer","","Recommended","When you have panic attacks do you have: fear of dying? Past","0 :: 5","0= No Information; 1= Not present; 2= Occasionally; 3= Always; 4= Yes; 5= No",""
