"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","guid"
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","","subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","intvdate"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","intvage"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"visit","String","60","Recommended","Visit name","","",""
"site","String","101","Recommended","Site","","Study Site",""
"completed","Integer","","Recommended","Checks if completed","0::3","0=No; 1=Yes; 2=Yes, lost; 3=Unverified",""
"bpf00a","String","5","Recommended","Infusion start time: (hh:mm, 24-hour clock; enter 55:55 if unknown)","","",""
"bpf00b","String","5","Recommended","Infusion end time: (hh:mm, 24-hour clock; enter 55:55 if unknown)","","",""
"bpf001a","String","5","Recommended","Pre-infusion: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf001b","Integer","","Recommended","Pre-infusion: Systolic Blood Pressure","","",""
"bpf001c","Integer","","Recommended","Pre-infusion: Diastolic Blood Pressure","","",""
"bpf001d","Integer","","Recommended","Pre-infusion: Pulse","","",""
"bpf002a","String","5","Recommended","0 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf002b","Integer","","Recommended","0 minute: Systolic Blood Pressure","","",""
"bpf002c","Integer","","Recommended","0 minute: Diastolic Blood Pressure","","",""
"bpf002d","Integer","","Recommended","0 minute: Pulse","","",""
"bpf003a","String","5","Recommended","5 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf003b","Integer","","Recommended","5 minute: Systolic Blood Pressure","","",""
"bpf003c","Integer","","Recommended","5 minute: Diastolic Blood Pressure","","",""
"bpf003d","Integer","","Recommended","5 minute: Pulse","","",""
"bpf004a","String","5","Recommended","10 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf004b","Integer","","Recommended","10 minute: Systolic Blood Pressure","","",""
"bpf004c","Integer","","Recommended","10 minute: Diastolic Blood Pressure","","",""
"bpf004d","Integer","","Recommended","10 minute: Pulse","","",""
"bpf005a","String","5","Recommended","15 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf005b","Integer","","Recommended","15 minute: Systolic Blood Pressure","","",""
"bpf005c","Integer","","Recommended","15 minute: Diastolic Blood Pressure","","",""
"bpf005d","Integer","","Recommended","15 minute: Pulse","","",""
"bpf006a","String","5","Recommended","20 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf006b","Integer","","Recommended","20 minute: Systolic Blood Pressure","","",""
"bpf006c","Integer","","Recommended","20 minute: Diastolic Blood Pressure","","",""
"bpf006d","Integer","","Recommended","20 minute: Pulse","","",""
"bpf007a","String","5","Recommended","25 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf007b","Integer","","Recommended","25 minute: Systolic Blood Pressure","","",""
"bpf007c","Integer","","Recommended","25 minute: Diastolic Blood Pressure","","",""
"bpf007d","Integer","","Recommended","25 minute: Pulse","","",""
"bpf008a","String","5","Recommended","30 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf008b","Integer","","Recommended","30 minute: Systolic Blood Pressure","","",""
"bpf008c","Integer","","Recommended","30 minute: Diastolic Blood Pressure","","",""
"bpf008d","Integer","","Recommended","30 minute: Pulse","","",""
"bpf009a","String","5","Recommended","35 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf009b","Integer","","Recommended","35 minute: Systolic Blood Pressure","","",""
"bpf009c","Integer","","Recommended","35 minute: Diastolic Blood Pressure","","",""
"bpf009d","Integer","","Recommended","35 minute: Pulse","","",""
"bpf010a","String","5","Recommended","40 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
"bpf010b","Integer","","Recommended","40 minute Systolic Blood Pressure","","",""
"bpf010c","Integer","","Recommended","40 minute Diastolic Blood Pressure","","",""
"bpf010d","Integer","","Recommended","40 minute Pulse","","",""
"bpf011a","String","5","Recommended","45 minute: Time (hh:mm, 24-hour clock; enter 55:55 if missing)","","",""
