"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"phenotype","String","400","Recommended","Phenotype/diagnosis for the subject","","",""
"mrsd1","Float","","Recommended","Gaba Level (mM) ","","",""
"mrsd2","Float","","Recommended","Glutamate Level (mM)","","",""
"mrsd3","Float","","Recommended","Glutamine Level (mM)","","",""
"mrsd_spec","String","25","Recommended","Specify Brain Area examined","","",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"mrsd_epc","Float","","Recommended","Energy Per Cycle (EPC)","","EPC = VTCA/Vcycle",""
"mrs_naa_concentration_vmpfc","Float","","Recommended","N-Acetylaspartic acid concentration in ventromedial prefrontal cortex voxel (mM)","","",""
"mrs_naa_qa_metric_vmpfc","Float","","Recommended","Cramer-Rao lower bound for ventromedial prefrontal cortex voxel (percentage)","","",""
"mrs_naa_ratio_vmpfc","Float","","Recommended","Ratio of N-Acetylaspartic acid to creatine for ventromedial prefrontal cortex voxel","","",""
"mrs_naa_concentration_acg","Float","","Recommended","N-Acetylaspartic acid concentration in anterior cingulate gyrus voxel (mM)","","",""
"mrs_naa_qa_metric_acg","Float","","Recommended","Cramer-Rao lower bound for anterior cingulate gyrus voxel (percentage)","","",""
"mrs_naa_ratio_acg","Float","","Recommended","Ratio of N-Acetylaspartic acid to creatine for anterior cingulate gyrus voxel","","",""
