"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"bas2_pf_01","Integer","","Recommended","I respected my body.","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_pf_02","Integer","","Recommended","I felt good about my body.","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_pf_03","Integer","","Recommended","I felt that my body had at least some good qualities.","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_pf_04","Integer","","Recommended","I took a positive attitude towards my body.","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_pf_05","Integer","","Recommended","I was attentive to my bodys needs.","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_pf_06","Integer","","Recommended","I felt love for my body.","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_pf_07","Integer","","Recommended","I appreciated the different and unique characteristics of my body.","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_pf_08","Integer","","Recommended","My behavior revealed my positive attitude toward my body; for example, I held my head up high and smiled.","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_pf_09","Integer","","Recommended","I was comfortable in my body.","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_pf_10","Integer","","Recommended","I felt like I was beautiful even if I was different from media images of attractive people (e.g., models, actresses/actors).","1 :: 5","1 = Not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely",""
"bas2_score","Float","","Recommended","BAS-2 Score","","sums: ((1, 2, 3, 4, 5, 6, 7, 8, 9, 10)/10)",""
