"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"abstainer_prototypes1","Integer","","Recommended","How much does the word 'SMART' describe your image of a typical high school student who chooses not to drink alcohol?","0::6","0=Not at all; 6=Extremely",""
"abstainer_prototypes2","Integer","","Recommended","How much does the word 'POPULAR' describe your image of a typical high school student who chooses not to drink alcohol?","0::6","0=Not at all; 6=Extremely",""
"abstainer_prototypes3","Integer","","Recommended","How much does the word 'MATURE' describe your image of a typical high school student who chooses not to drink alcohol?","0::6","0=Not at all; 6=Extremely",""
"abstainer_prototypes4","Integer","","Recommended","How much does the word 'ATTRACTIVE' describe your image of a typical high school student who chooses not to drink alcohol?","0::6","0=Not at all; 6=Extremely",""
"drinker_prototypes1","Integer","","Recommended","How much does the word 'POPULAR' describe your image of a typical high school student who chooses to drink alcohol?","1::5","1 =  Not at all popular; 5 = Very popular",""
"drinker_prototypes2","Integer","","Recommended","How much does the word 'ATTRACTIVE' describe your image of a typical high school student who chooses to drink alcohol?","1::5","1 =  Not at all attractive; 5 = Very attractive",""
"drinker_prototypes3","Integer","","Recommended","How much does the word 'COOL' describe your image of a typical high school student who chooses to drink alcohol?","1::5","1 =  Not at all cool; 5 = Very cool",""
"drinker_prototypes4","Integer","","Recommended","How much does the word 'IMMATURE' describe your image of a typical high school student who chooses to drink alcohol?","1::5","1 =  Not at all immature; 5 = Very immature",""
"drinker_prototypes5","Integer","","Recommended","How much does the word 'CONFUSED' describe your image of a typical high school student who chooses to drink alcohol?","1::5","1 =  Not at all confused; 5 = Very confused",""
"drinker_prototypes6","Integer","","Recommended","How much does the word 'SELF-CENTERED' describe your image of a typical high school student who chooses to drink alcohol?","1::5","1 =  Not at all self-centered; 5 = Very self-centered",""
