"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"arsfqwo1","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Spending in person time socializing or engaging in any other activities with friends","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo1","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Spending in person time socializing or engaging in any other activities with friends","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo1","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Spending in person time socializing or engaging in any other activities with friends","0;1","0=No; 1=Yes",""
"hourswo1","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Spending in person time socializing or engaging in any other activities with friends","","Number of hours",""
"arsfqwo2","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Spending in-person time with a romantic partner","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo2","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Spending in-person time with a romantic partner","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo2","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Spending in-person time with a romantic partner","0;1","0=No; 1=Yes",""
"hourswo2","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Spending in-person time with a romantic partner","","Number of hours",""
"arsfqwo3","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Spending in-person time with family","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo3","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Spending in-person time with family","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo3","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Spending in-person time with family","0;1","0=No; 1=Yes",""
"hourswo3","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Spending in-person time with family","","Number of hours",""
"arsfqwo4","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Virtual socializing with friends, family, or romantic partners","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo4","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Virtual socializing with friends, family, or romantic partners","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo4","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Virtual socializing with friends, family, or romantic partners","0;1","0=No; 1=Yes",""
"hourswo4","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Virtual socializing with friends, family, or romantic partners","","Number of hours",""
"arsfqwo5","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Sports and exercise either alone or with others","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo5","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Sports and exercise either alone or with others","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo5","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Sports and exercise either alone or with others","0;1","0=No; 1=Yes",""
"hourswo5","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Sports and exercise either alone or with others","","Number of hours",""
"arsfqwo6","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Entertainment at home either alone or with others","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo6","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Entertainment at home either alone or with others","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo6","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Entertainment at home either alone or with others","0;1","0=No; 1=Yes",""
"hourswo6","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Entertainment at home either alone or with others","","Number of hours",""
"arsfqwo7","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Entertainment outside the home either alone or with others","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo7","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Entertainment outside the home either alone or with others","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo7","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Entertainment outside the home either alone or with others","0;1","0=No; 1=Yes",""
"hourswo7","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Entertainment outside the home either alone or with others","","Number of hours",""
"arsfqwo8","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Hobbies or creative activities either alone or with others","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo8","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Hobbies or creative activities either alone or with others","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo8","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Hobbies or creative activities either alone or with others","0;1","0=No; 1=Yes",""
"hourswo8","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Hobbies or creative activities either alone or with others","","Number of hours",""
"arsfqwo9","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Employment or education","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo9","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Employment or education","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo9","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Employment or education","0;1","0=No; 1=Yes",""
"hourswo9","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Employment or education","","Number of hours",""
"arsfqwo10","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Relaxation, meditation, or any other self-care activities either alone or with others","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo10","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Relaxation, meditation, or any other self-care activities either alone or with others","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo10","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Relaxation, meditation, or any other self-care activities either alone or with others","0;1","0=No; 1=Yes",""
"hourswo10","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Relaxation, meditation, or any other self-care activities either alone or with others","","Number of hours",""
"arsfqwo11","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Religious or Spiritual activity either alone or with others","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo11","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Religious or Spiritual activity either alone or with others","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo11","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Religious or Spiritual activity either alone or with others","0;1","0=No; 1=Yes",""
"hourswo11","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Religious or Spiritual activity either alone or with others","","Number of hours",""
"arsfqwo12","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Intimate or sexual activity with a partner","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo12","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Intimate or sexual activity with a partner","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo12","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Intimate or sexual activity with a partner","0;1","0=No; 1=Yes",""
"hourswo12","Integer","","Recommended","In a typical week in the past 30 days, how many total hours do you spend on this activity when you were not drinking alcohol or using drugs - Intimate or sexual activity with a partner","","Number of hours",""
"arsfqwo13","Integer","","Recommended","In the past 30 days, how often did you do this activity when you were not using alcohol or drugs - Caring for others","0::4","0=0 times; 1=Once a week; 2=2-4 times a week; 3=About once a day; 4=More than once a day",""
"arsejwo13","Integer","","Recommended","In the past 30 days, how much did you enjoy this activity when you were not using alcohol or drugs - Caring for others","0::4","0=Unpleasant or neutral; 1=Mildly pleasant; 2=Moderately pleasant; 3=Very pleasant; 4=Extremely pleasant",""
"oppwo13","Integer","","Recommended","In the past 30 days, did you have the opportunity to engage in this activity as much as you would like to in the past month - Caring for others","0;1","0=No; 1=Yes",""
