"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","45","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"memory_score","Float","","Recommended","Dementia Rating Memory","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe","memory_recall_score"
"orientation_score","Float","","Recommended","Dementia Rating Orientation","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe",""
"judgment_problem_solving_score","Float","","Recommended","Dementia Rating  Problem Solving","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe","decision_making_problem_solving_score"
"community_affairs_score","Float","","Recommended","Dementia Rating Community Affairs","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe",""
"home_hobby_score","Float","","Recommended","Dementia Rating Home Hobby","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe",""
"personal_care_score","Float","","Recommended","Dementia Rating Personal Care","0; 0.5; 1; 2; 3","0 and 0.5 = None; 1 = Mild; 2 = Moderate; 3 = Severe",""
"cdr_sum_of_boxes","Float","","Recommended","Dementia Rating Sum of Boxes Score","","",""
"global_cdr_score","Float","","Recommended","Dementia Rating (CDR) Global score","0 :: 3","0.0 = No Impairment; 0.5 = Questionable impairment; 1.0 = Mild impairment; 2.0 = Moderate impairment; 3.0 = Severe Impairment","qdrstotal"
"aoh_score","Float","","Recommended","Dementia Rating Activities Outside Home","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe","activities_outside_home_score"
"tph_score","Float","","Recommended","Dementia Rating Toileting Personal Hygiene","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe","toileting_personal_hygiene_score"
"bpc_score","Float","","Recommended","Dementia Rating Behavior Personality Changes","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe","behavior_personality_changes_score"
"lca_score","Float","","Recommended","Dementia Rating Language Communication Abilities","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe","language_communication_abilities_score"
"mood_score","Float","","Recommended","Dementia Rating Mood Changes","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe",""
"attconc_score","Float","","Recommended","Dementia Rating Attention Concentration","0; 0.5; 1; 2; 3","0 = None; 0.5 = Questionable; 1 = Mild; 2 = Moderate; 3 = Severe","attention_concentration_score"
"cdritem1_1","Integer","","Recommended","Does the subject have a problem with memory and/ or thinking?","0; 1","0= No; 1= Yes; 9= Unknown",""
"cdritem1_1a","Integer","","Recommended","Does the subject have a problem with memory and/ or thinking? Is this a consistent problem?","0; 1","0= No; 1= Yes; 9= Unknown",""
"cdritem1_1b","Integer","","Recommended","Does the subject have a problem with memory and/ or thinking? Is this a consistent problem? What was the onset of the problem like?","1;2;8;9","1= Sudden; 2= Gradual; 9= Unknown; 8= NA",""
"cdritem1_1c","Integer","","Recommended","Does the subject have a problem with memory and/ or thinking? Is this a consistent problem? What was the onset of the problem like? Since onset, how have the problems changed?","1;2;3;8;9","1= Worse; 2= Better; 3= Stable; 9= Unknown; 8= NA",""
"cdritem1_1d","Integer","","Recommended","Does the subject have a problem with memory and/ or thinking? Is this a consistent problem? What was the onset of the problem like? Since onset, how have the problems changed? If worse, progression has been:","1;2;3;4;8","1= Rapid; 2= Steady; 3= Stepwise; 4= Variable; 8= NA",""
"cdritem1_2","Integer","","Recommended","Can they recall recent events?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_3","Integer","","Recommended","Can they remember a short list of items (shopping list)?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_3a","Integer","","Recommended","Shopping list: Repeat questions/ statements","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_3b","Integer","","Recommended","Shopping list: Misplace items","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_3c","Integer","","Recommended","Shopping list: Forget events and/ or conversations","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_3d","Integer","","Recommended","Shopping list: Forget to complete tasks","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_3e","Integer","","Recommended","Shopping list: Have trouble finding words","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_3f","Integer","","Recommended","Shopping list: Trouble expressing self; broken/ nonsensical speech","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_3g","Integer","","Recommended","Shopping list: Have trouble concentrating or paying attention","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_4","Integer","","Recommended","Has there been some decline in memory during the past year?","0; 1","0= No; 1= Yes",""
"cdritem1_5","Integer","","Recommended","Is their memory impaired to such a degree that it would have interfered with his/ her activities of daily life a few years ago (or pre-retirement activities)?","0; 1","0= No; 1= Yes",""
"cdritem1_6","Integer","","Recommended","Do they completely forget a major event (e.g., trip, party, family wedding) within a few weeks of the event?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_7","Integer","","Recommended","Do they forget pertinent details of the major event?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_8","Integer","","Recommended","Do they completely forget important information of the distant past (e.g., birth date, wedding date, place of employment)?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem1_9","String","1000","Recommended","Tell me about some recent event in his/ her life that he/ she should remember. Within 1 week:","","",""
"cdritem1_9mnth","String","1000","Recommended","Tell me about some recent event in his/ her life that he/ she should remember. Within 1 month:","","",""
"cdritem1_13","String","1000","Recommended","What was his/ her main occupation/ job? (or spouse's job if subject was not employed outside the home)","","",""
"cdritem1_14","String","1000","Recommended","What was his/ her last major job (or spouse's job if subject was not employed)?","","",""
"cdritem1_15","String","1000","Recommended","When did he/ she (or spouse) retire?","","",""
"cdritem1_15y","String","1000","Recommended","Why did he/ she (or spouse) retire?","","",""
"cdritem2_1","Integer","","Recommended","How often does the subject know of the exact: Date of the Month","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem2_2","Integer","","Recommended","How often does the subject know of the exact: Month","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem2_3","Integer","","Recommended","How often does the subject know of the exact: Year","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem2_4","Integer","","Recommended","How often does the subject know of the exact: Day of the Week","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem2_5","Integer","","Recommended","How often does the subject know of the exact: Does the subject have difficulty with time relationships (when events happened in relation to each other)?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem2_6","Integer","","Recommended","How often does the subject know of the exact: Can the subject find his/ her way about familiar streets?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem2_7","Integer","","Recommended","How often does the subject know of the exact: How often does the subject know how to get from one place to another outside his/ her neighborhood?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem2_8","Integer","","Recommended","How often does the subject know of the exact: How often can the subject find his/ her way about indoors?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem3_1","Integer","","Recommended","In general, how would you rate the subject's abilities to: Solve problems at the present time?","1;2;3;9","1= No loss; 2= Some loss; 3= Severe loss; 9= Unknown",""
"cdritem3_2","Integer","","Recommended","In general, how would you rate the subject's abilities to: Cope with small sums of money (e.g., make change, leave a small tip)?","1;2;3;9","1= No loss; 2= Some loss; 3= Severe loss; 9= Unknown",""
"cdritem3_3","Integer","","Recommended","In general, how would you rate the subject's abilities to: Handle complicated financial or business transactions (e.g., balance check-book, pay bills)?","1;2;3;9","1= No loss; 2= Some loss; 3= Severe loss; 9= Unknown",""
"cdritem3_4","Integer","","Recommended","In general, how would you rate the subject's abilities to: Handle a household emergency (e.g., plumbing leak, small fire)?","1;2;3","1= As well as before; 2= Worse than before because of trouble thinking; 3= Worse than before (another reason)",""
"cdritem3_4y","String","1000","Recommended","In general, how would you rate the subject's abilities to: Handle a household emergency (e.g., plumbing leak, small fire)? Worse than before, specify reason.","","",""
"cdritem3_5","Integer","","Recommended","In general, how would you rate the subject's abilities to: Can the subject understand situations or explanations?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"cdritem3_6","Integer","","Recommended","In general, how would you rate the subject's abilities to: Does the subject behave appropriately (i.e., in his/ her usual, premorbid manner) in social situations and interactions with other people?","1;2;3;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 9= Unknown",""
"working","Integer","","Recommended","Are you working now","1;2","1=Yes; 2=No","cdritem4_1"
"cdritem4_2","Integer","","Recommended","Did memory or thinking problems contribute to the subject's decision to retire?","0; 1; 8","0= No; 1= Yes; 8= NA",""
"cdritem4_3","Integer","","Recommended","Does the subject have significant difficulty in his/ her job because of problems with memory or thinking?","1;2;3;8;9","1= Usually; 2= Sometimes; 3= Rarely or Never; 8= NA; 9= Unknown",""
"cdritem4_4","Integer","","Recommended","Did the subject ever drive a car?","0; 1","0= No; 1= Yes",""
"cdritem4_4a","Integer","","Recommended","Does the subject drive a car now?","0; 1","0= No; 1= Yes",""
"cdritem4_4a1","Integer","","Recommended","Does the subject drive a car now? If no, is it because of memory or thinking problems?","0; 1","0= No; 1= Yes",""
"cdritem4_5","Integer","","Recommended","If the subject is still driving, are there problems or risks because of poor thinking?","0; 1","0= No; 1= Yes",""
"cdritem4_5_1","Integer","","Recommended","In the past 12 months, has the subject experienced any of the following - Accidents","0; 1","0= No; 1= Yes",""
"cdritem4_5_2","Integer","","Recommended","In the past 12 months, has the subject experienced any of the following - Tickets","0; 1","0= No; 1= Yes",""
"cdritem4_5_3","Integer","","Recommended","In the past 12 months, has the subject experienced any of the following - Getting Lost","0; 1","0= No; 1= Yes",""
