"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"psychosis_range2","String","20","Recommended","Duration of Psychotic Episode 2","","mm/yyyy - mm/yyyy",""
"psychosis_range3","String","20","Recommended","Duration of Psychotic Episode 3","","mm/yyyy - mm/yyyy",""
"psychosis_range4","String","20","Recommended","Duration of Psychotic Episode 4","","mm/yyyy - mm/yyyy",""
"psychosis_range5","String","20","Recommended","Duration of Psychotic Episode 5","","mm/yyyy - mm/yyyy",""
"psychosis_range6","String","20","Recommended","Duration of Psychotic Episode 6","","mm/yyyy - mm/yyyy",""
"psychosis_range7","String","20","Recommended","Duration of Psychotic Episode 7","","mm/yyyy - mm/yyyy",""
"psychosis_range8","String","20","Recommended","Duration of Psychotic Episode 8","","mm/yyyy - mm/yyyy",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"site","String","101","Recommended","Site","","Study Site","siteid"
"version_form","String","121","Recommended","Form used/assessment name","","e.g., Self-Report, Parent Form, Short Form, Revised Version","form"
"visit","String","60","Recommended","Visit name","","e.g., Baseline, 6-Month Follow Up, Year 2, Daily","visitnum"
"prevlifemedhist","Float","","Recommended","Lifetime Total Exposure","","Total Lifetime Exposure Measure of Anti-Psychiatric Drugs, measured in grams",""
"frstpsychdt","Date","","Recommended","Date of the subject�s first episode of psychosis?","","MM/DD/YYYY",""
"psychtrtdt","Date","","Recommended","Date of first treatment for Psychosis?","","MM/DD/YYYY",""
"recentepisode_psy","Date","","Recommended","Date of most recent episode or exacerbation of psychosis?","","MM/DD/YYYY",""
"a_4a_date_of_the_subject_s_mos","Date","","Recommended","Date of the subject's most recent hospitalization","","MM/DD/YYYY",""
"suicatmpdt","Date","","Recommended","suicide attempt, Most Recent Date:","","MM/DD/YYYY",""
"chf_method1","String","250","Recommended","1st suicide attempt method","","","suicatmptmthd"
"cssrs_base_13","Integer","","Recommended","Baseline. Que 13 - Suicidal Behavior: Interrupted Attempt","0;1; -9","0=No; 1=Yes; -9=Missing/NA/NK","suicatmpintrp"
"intrpatmpdt","Date","","Recommended","suicide interrupted attempt If yes, Most Recent Date:","","MM/DD/YYYY",""
"cssrs_base_13b","String","1000","Recommended","Baseline. Que 13b - Suicidal Behavior: Interrupted attempt description","","","intrpatmptmthd"
"sblw02","Integer","","Recommended","Suicidal Behavior Last Week: Aborted Attempt","0;1","0=No; 1=Yes","abrtatmpt"
"abortatmpdt","Date","","Recommended","suicide aborted If yes, Most Recent Date:","","MM/DD/YYYY",""
"cssrs_base_14b","String","250","Recommended","Baseline. Que 14b - Suicidal Behavior: Aborted attempt description","","","abrtatmptmthd"
"injectmed","Integer","","Recommended","Have you received an injectable medication in the past 90 days?  (If yes, record on Concomitant Medications/Therapy log)","0;1","1=Yes; 0=No",""
"stopmed","Integer","","Recommended","Has the subject stopped any medications (i.e. pills, vitamins, topical, patches, etc)in the past 4 weeks? (If yes, record on Concomitant Medications/Therapy log)","0;1","1=Yes; 0=No",""
"prevalac","Integer","","Recommended","Have you ever taken Valacyclovir or Acyclovir?","0;1","1=Yes; 0=No",""
"elig_23","Integer","","Recommended","Suicidal","0;1","0=No; 1=Yes","aemarksuicid"
"respondent","String","20","Recommended","Respondent","Mother;Father;Parent;Guardian;Teacher;Child;Self;Caregiver;Partner;Other;NA","NA=Not Applicable",""
"su1","Integer","","Recommended","Prior to this hospitalization, have you gone anywhere or seen anyone for mental health services
or alcohol/drug use treatment - a physician, social worker, drug or alcohol detox clinic, a
hospital, or any other community agency or professional?","0;1","0= No; 1= Yes","psychhist_mentalhealth"
"hx_psymeds","Integer","","Recommended","Have you ever been prescribed psychiatric medication?","0; 1","0= No; 1= Yes","psychhist_psycmeds"
"anytherapy","Integer","","Recommended","Any psychotherapy for anxiety, depression, ADHD, or other emotional or behavioral difficulties","0;1","0 = No; 1 = Yes","psychhist_therapy_curr"
"past_therapy","Integer","","Recommended","In the past have you ever been in talk therapy or counseling for emotional problems?","0;1","0=No; 1=Yes","psychhist_therapy_past"
"asap10e","Integer","","Recommended","outside clinicians/services: Psychiatric hospitalization for patient","0;1; 88","0 = No;1 = Yes; 88= No information","psychhist_hosp_psyc"
"cfmh_chd_depression","Integer","","Recommended","Does (did) the Child have Depression?","1;0;999","0 = No; 1 = Yes","psychhist_dep"
"bipolar","Integer","","Recommended","Bipolar Disorder","0 :: 1; -9","0=Not Selected; 1=Selected; -9=Missing (Question not answered)","psychhist_bipolar"
"anxiety_yes","Integer","","Recommended","Any Anxiety Disorder is Present","0;1","0 = No; 1 = Yes","psychhist_anxietydis"
"cdiag_ocd","Integer","","Recommended","Child current diagnosis: OCD","0;1","0=No; 1=Yes","psychhist_ocd"
"cfmh_chd_schizo","Integer","","Recommended","Does (did) the Participant have Schizophrenia?","0::2;999; -7","0 = No; 1 = Yes; 2=Probable;-7=Refused; 999=NA/NK/missing","psychhist_schiz"
"baseline_k_014","Integer","","Recommended","An eating disorder, like anorexia or bulimia?","0::3; -888; -999","0=No; 1=Yes; -888=Not Applicable; -999=Missing;2=Current; 3=Both Current and Lifetime","psychhist_eatingdis"
"adhd_diagnosis","Integer","","Recommended","Attention Deficit Disorder: Formal diagnosis","0;1;-7;-8;-9","0 = No; 1 = Yes; -7 = Don't know; -8 = Refused to answer; -9 = Does not apply","psychhist_adhd"
"tourettes_formaldiagnosis","Integer","","Recommended","Tourette's syndrome: Formal diagnosis","0; 1; -7; -8; -9","0 = No; 1 = Yes; -7 = Don't know; -8 = Refused to answer; -9 = Does not apply","psychhist_tourettes"
"trichotillomania","Integer","","Recommended","Trichotillomania","0;1","0=No; 1=Yes","psychhist_trich"
"dph00a6","Integer","","Recommended","History of substance abuse","0;1","0=No; 1=Yes","psychhist_substanceabuse"
"impact_trauma","Integer","","Recommended","Past traumatic experiences (abuse or other)","0;1;-99;88;77","0= No ; 1= Yes ; -99= N/A ; 88= Missing ; 77= Refused","psychhist_trauma"
"w1_m_cu_learning","Integer","","Recommended","health at interview - learning disability history","0;1; -888; -999","0 = No; 1 = Yes; -999 = missing; -888 = not applicable","psychhist_learningdis"
"anxiety_notes","String","300","Recommended","Notes","","","psychhist_anxietydis_list"
"fam_hx_psy","String","300","Recommended","Please describe your family history of emotional difficulties and/or psychiatric treatment.","","","psychhist_relative_text"
"psychhist_behaviorprob","Integer","","Recommended","Have you ever been diagnosed with Behavioral or conduct problems?","0;1","0=no; 1=yes",""
"psychhist_neurodamage","Integer","","Recommended","Have you ever been diagnosed with Significant neurological damage?","0;1","0=no; 1=yes",""
"psychhist_relative","Integer","","Recommended","Do you have a first degree relative who has been diagnosed with a psychiatric disorder? ","0;1","0=no; 1=yes",""
"diagnoses_1","String","4000","Recommended","List all diagnosis here","","","p_diagnosis"
"p_manic","Integer","","Recommended","Has the participant ever had manic episode?","0::1","0=No; 1=Yes",""
"p_manic_1","String","2000","Recommended","How many total manic episodes across the lifetime?","","",""
"p_manic_2","String","2000","Recommended","How many of these manic episodes were associated with hospitalization?","","",""
"p_manic_3","String","2000","Recommended","How many manic episodes in the past five years?","","",""
"p_manic_4","String","2000","Recommended","How many manic episodes in the past year?","","",""
"p_manic_5","String","2000","Recommended","Age of onset of first manic episode:","","",""
"p_manic_6","String","2000","Recommended","Age of most recent manic episode:","","",""
"p_depress","Integer","","Recommended","Has the participant ever had depressive episode?","0::1","0=No; 1=Yes",""
"p_depress_1","String","2000","Recommended","How many total depressive episodes across the lifetime?","","",""
"p_depress_2","String","2000","Recommended","How many of these depressive episodes were associated with hospitalization?","","",""
"p_depress_3","String","2000","Recommended","How many depressive episodes in the past five years?","","",""
"p_depress_4","String","2000","Recommended","How many depressive episodes in the past year?","","",""
"p_depress_5","String","2000","Recommended","Age of onset of first depressive episode:","","",""
"p_depress_6","String","2000","Recommended","Age of most recent depressive episode:","","",""
"cepisp","String","500","Recommended","Current diagnosis specify","","","ph_1"
"a1_ad1a_o","String","300","Recommended","Specify other person suspected diagnosis","","","ph_2"
"fh_1","Integer","","Recommended","Family history of psychiatric disorder other than schizophrenia (OPCRIT 14)","0;1","0=No; 1=Yes",""
"fh_2","Integer","","Recommended","Family history of schizophrenia (OPCRIT 13)","0;1"," 0 = No; 1 = Yes",""
"pmh3","Integer","","Recommended","Diagnostic Interview for Psychoses (DIP) Diagnosis","0;1","0=Schizoaffective disorder; 1=Schizophrenia","ph_3"
"pmh4","Integer","","Recommended","Age when schizoaffective disorder or schizophrenia symptoms were first noticed (years)","","","ph_4"
"pmh7","Integer","","Recommended","Duration of illness since symptoms were first noticed (years)","","","ph_7"
"pmh8","Integer","","Recommended","Duration of illness schizoaffective disorder or schizophrenia since diagnosis (years)","","","ph_8"
"pmh5","Integer","","Recommended","Age when definitive diagnosis was made (years)","","","ph_5"
"hhb_psy_rx_yn","Integer","","Recommended","Does/did the patient take medication to treat Psychiatric Illness [hhb_psy]?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_oth_ds_u_bip","String","20","Recommended","Other Dose (unit) for [hhb_psy_rx_name_bip]","","hhb_psy_rx_ds_u_bip = 4",""
"hhb_psy_rx_fq_bip","Integer","","Recommended","Frequency for [hhb_psy_rx_name_bip]","1::6","1= Once a day; 2= Twice daily; 3= Three times daily; 4= Four times daily; 5= As needed; 6= Other",""
"hhb_psy_rx_an_fq_bip","String","100","Recommended","Specify As Needed Dosing Schedule for [hhb_psy_rx_name_bip]","","hhb_psy_rx_fq_bip = 5",""
"hhb_psy_rx_oth_fq_bip","String","100","Recommended","Other Frequency for [hhb_psy_rx_name_bip]","","hhb_psy_rx_fq_bip = 6",""
"hhb_psy_rx_c_yn_bip","Integer","","Recommended","Is this medication [hhb_psy_rx_name_bip] currently being taken?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_l_tk_bip","Integer","","Recommended","When was medication [hhb_psy_rx_name_bip] last taken? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_rx_yn_bip_b","Integer","","Recommended","Does/Did the participant take another medication to treat Bipolar Disorder?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_name_bip_b","String","100","Recommended","Name of Secondary Medication for Treating Bipolar Disorder","","",""
"hhb_psy_rx_rt_bip_b","Integer","","Recommended","Route of Administration for [hhb_psy_rx_name_bip_b]","1::5","1= Oral; 2= Sublingual; 3= Injection; 4= Inhaled; 5= Other",""
"hhb_psy_rx_oth_rt_bip_b","String","100","Recommended","Other Route of Administration for [hhb_psy_rx_name_bip_b]","","hhb_psy_rx_rt_bip_b = 5",""
"hhb_psy_rx_name","String","100","Recommended","Name of Medication to treat Psychiatric Illness [hhb_psy]","","",""
"hhb_psy_rx_ds_num_bip_b","Integer","","Recommended","Dose (number) for [hhb_psy_rx_name_bip_b]","","",""
"hhb_psy_rx_ds_u_bip_b","Integer","","Recommended","Dose (unit) for [hhb_psy_rx_name_bip_b]","1::4","1= Microgram (ug); 2= Milligram (mg); 3= Gram (g); 4= Other",""
"hhb_psy_rx_oth_ds_u_bip_b","String","20","Recommended","Other Dose (unit) for [hhb_psy_rx_name_bip_b]","","hhb_psy_rx_ds_u_bip_b = 4",""
"hhb_psy_rx_fq_bip_b","Integer","","Recommended","Frequency for [hhb_psy_rx_name_bip_b]","1::6","1= Once a day; 2= Twice daily; 3= Three times daily; 4= Four times daily; 5= As needed; 6= Other",""
"hhb_psy_rx_an_fq_bip_b","String","100","Recommended","Specify As Needed Dosing Schedule for [hhb_psy_rx_name_bip_b]","","hhb_psy_rx_fq_bip_b = 5",""
"hhb_psy_rx_oth_fq_bip_b","String","100","Recommended","Other Frequency for [hhb_psy_rx_name_bip_b]","","hhb_psy_rx_fq_bip_b = 6",""
"hhb_psy_rx_c_yn_bip_b","Integer","","Recommended","Is this medication [hhb_psy_rx_name_bip_b] currently being taken?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_l_tk_bip_b","Integer","","Recommended","When was medication [hhb_psy_rx_name_bip_b] last taken? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_inter_yn_bip","Integer","","Recommended","Does/Did the participant use any other interventions besides medications to treat Bipolar Disorder?","0;1","0= No; 1= Yes",""
"hhb_psy_inter_bip","Integer","","Recommended","Which intervention does/did the participant use to treat Bipolar Disorder?","1::4","1= Therapy; 2= Electroconvulsive Therapy (ECT); 3= Transcranial Magnetic Stimulation (TMS); 4= Other",""
"hhb_psy_rx_rt","Integer","","Recommended","Route of Administration for [hhb_psy_rx_name]","1::5","1= Oral; 2= Sublingual; 3= Injection; 4= Inhaled; 5= Other",""
"hhb_psy_oth_inter_bip","String","200","Recommended","Other Intervention for Bipolar Disorder","","hhb_psy_inter_bip = 4",""
"hhb_psy_inter_fq_bip","Integer","","Recommended","Frequency for [hhb_psy_inter_bip]","1::6","1= Once a month; 2= Once every other week; 3= Once a week; 4= Twice a week; 5= Three times a week; 6= More than three times a week",""
"hhb_psy_inter_c_yn_bip","Integer","","Recommended","Is this intervention [hhb_psy_inter_bip] currently being received?","0;1","0= No; 1= Yes",""
"hhb_psy_inter_l_rec_bip","Integer","","Recommended","When was the intervention [hhb_psy_inter_bip] last received? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_inter_yn_bip_b","Integer","","Recommended","Does/Did the participant use another intervention besides medications to treat Bipolar Disorder?","0;1","0= No; 1= Yes",""
"hhb_psy_inter_bip_b","Integer","","Recommended","Which secondary intervention does/did the participant use to treat Bipolar Disorder?","1::4","1= Therapy; 2= Electroconvulsive Therapy (ECT); 3= Transcranial Magnetic Stimulation (TMS); 4= Other",""
"hhb_psy_oth_inter_bip_b","String","200","Recommended","Other Secondary Intervention for Bipolar Disorder","","hhb_psy_inter_bip_b = 4",""
"hhb_psy_inter_fq_bip_b","Integer","","Recommended","Frequency for [hhb_psy_inter_bip_b]","1::6","1= Once a month; 2= Once every other week; 3= Once a week; 4= Twice a week; 5= Three times a week; 6= More than three times a week",""
"hhb_psy_inter_c_yn_bip_b","Integer","","Recommended","Is this intervention [hhb_psy_inter_bip_b] currently being received?","0;1","0= No; 1= Yes",""
"hhb_psy_inter_l_rec_bip_b","Integer","","Recommended","When was the intervention [hhb_psy_inter_bip_b] last received? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_rx_oth_rt","String","100","Recommended","Other Route of Administration for [hhb_psy_rx_name]","","hhb_psy_rx_rt = 5",""
"hhb_psy_notes_bip","String","4000","Recommended","Notes on Bipolar Disorder","","if none, write ''n/a''",""
"hhb_psy_yn_adhd","Integer","","Recommended","Attention Deficit Hyperactivity Disorder (ADHD)","0;1","0= No; 1= Yes",""
"hhb_psy_desc_yn_adhd","Integer","","Recommended","Has this (ADHD) already been described in this form?","0;1","0= No; 1= Yes",""
"hhb_psy_dur_adhd","Integer","","Recommended","Duration of ADHD","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_c_yn_adhd","Integer","","Recommended","Does the patient still have ADHD?","0;1","0= No; 1= Yes",""
"hhb_psy_l_sxs_adhd","Integer","","Recommended","When were the last symptoms of the patient's ADHD?","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_rx_yn_adhd","Integer","","Recommended","Does/Did the patient take medication to treat their ADHD?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_name_adhd","String","100","Recommended","Name of Medication for Treating ADHD","","",""
"hhb_psy_rx_rt_adhd","Integer","","Recommended","Route of Administration for [hhb_psy_rx_name_adhd]","1::5","1= Oral; 2= Sublingual; 3= Injection; 4= Inhaled; 5= Other",""
"hhb_psy_rx_oth_rt_adhd","String","100","Recommended","Other Route of Administration for [hhb_psy_rx_name_adhd]","","hhb_psy_rx_rt_adhd = 5",""
"hhb_psy_rx_ds_num","Integer","","Recommended","Dose (number) for [hhb_psy_rx_name]","","",""
"hhb_psy_rx_ds_num_adhd","Integer","","Recommended","Dose (number) for [hhb_psy_rx_name_adhd]","","",""
"hhb_psy_rx_ds_u_adhd","Integer","","Recommended","Dose (unit) for [hhb_psy_rx_name_adhd]","1::4","1= Microgram (ug); 2= Milligram (mg); 3= Gram (g); 4= Other",""
"hhb_psy_rx_oth_ds_u_adhd","String","20","Recommended","Other Dose (unit) for [hhb_psy_rx_name_adhd]","","hhb_psy_rx_ds_u_adhd = 4",""
"hhb_psy_rx_fq_adhd","Integer","","Recommended","Frequency for [hhb_psy_rx_name_adhd]","1::6","1= Once a day; 2= Twice daily; 3= Three times daily; 4= Four times daily; 5= As needed; 6= Other",""
"hhb_psy_rx_an_fq_adhd","String","100","Recommended","Specify As Needed Dosing Schedule for [hhb_psy_rx_name_adhd]","","hhb_psy_rx_fq_adhd = 5",""
"hhb_psy_rx_oth_fq_adhd","String","100","Recommended","Other Frequency for [hhb_psy_rx_name_adhd]","","hhb_psy_rx_fq_adhd = 6",""
"hhb_psy_rx_c_yn_adhd","Integer","","Recommended","Is this medication [hhb_psy_rx_name_adhd] currently being taken?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_l_tk_adhd","Integer","","Recommended","When was medication [hhb_psy_rx_name_adhd] last taken? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_rx_yn_adhd_b","Integer","","Recommended","Does/Did the participant take another medication to treat ADHD?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_name_adhd_b","String","100","Recommended","Name of Secondary Medication for Treating ADHD","","",""
"hhb_psy_rx_ds_u","Integer","","Recommended","Dose (unit) for [hhb_psy_rx_name]","1::4","1= Microgram (ug); 2= Milligram (mg); 3= Gram (g); 4= Other",""
"hhb_psy_rx_rt_adhd_b","Integer","","Recommended","Route of Administration for [hhb_psy_rx_name_adhd_b]","1::5","1= Oral; 2= Sublingual; 3= Injection; 4= Inhaled; 5= Other",""
"hhb_psy_rx_oth_rt_adhd_b","String","100","Recommended","Other Route of Administration for [hhb_psy_rx_name_adhd_b]","","hhb_psy_rx_rt_adhd_b = 5",""
"hhb_psy_rx_ds_num_adhd_b","Integer","","Recommended","Dose (number) for [hhb_psy_rx_name_adhd_b]","","",""
"hhb_psy_rx_ds_u_adhd_b","Integer","","Recommended","Dose (unit) for [hhb_psy_rx_name_adhd_b]","1::4","1= Microgram (ug); 2= Milligram (mg); 3= Gram (g); 4= Other",""
"hhb_psy_rx_oth_ds_u_adhd_b","String","20","Recommended","Other Dose (unit) for [hhb_psy_rx_name_adhd_b]","","hhb_psy_rx_ds_u_adhd_b = 4",""
"hhb_psy_rx_fq_adhd_b","Integer","","Recommended","Frequency for [hhb_psy_rx_name_adhd_b]","1::6","1= Once a day; 2= Twice daily; 3= Three times daily; 4= Four times daily; 5= As needed; 6= Other",""
"hhb_psy_rx_an_fq_adhd_b","String","100","Recommended","Specify As Needed Dosing Schedule for [hhb_psy_rx_name_adhd_b]","","hhb_psy_rx_fq_adhd_b = 5",""
"hhb_psy_rx_oth_fq_adhd_b","String","100","Recommended","Other Frequency for [hhb_psy_rx_name_adhd_b]","","hhb_psy_rx_fq_adhd_b = 6",""
"hhb_psy_rx_c_yn_adhd_b","Integer","","Recommended","Is this medication [hhb_psy_rx_name_adhd_b] currently being taken?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_l_tk_adhd_b","Integer","","Recommended","When was medication [hhb_psy_rx_name_adhd_b] last taken? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_rx_oth_ds_u","String","20","Recommended","Other Dose (unit) for [hhb_psy_rx_name]","","hhb_psy_rx_ds_u = 4",""
"hhb_psy_inter_yn_adhd","Integer","","Recommended","Does/Did the participant use any other interventions besides medications to treat ADHD?","0;1","0= No; 1= Yes",""
"hhb_psy_inter_adhd","Integer","","Recommended","Which intervention does/did the participant use to treat ADHD?","1::4","1= Therapy; 2= Electroconvulsive Therapy (ECT); 3= Transcranial Magnetic Stimulation (TMS); 4= Other",""
"hhb_psy_oth_inter_adhd","String","200","Recommended","Other Intervention for ADHD","","hhb_psy_inter_adhd = 4",""
"hhb_psy_inter_fq_adhd","Integer","","Recommended","Frequency fpr [hhb_psy_inter_adhd]","1::6","1= Once a month; 2= Once every other week; 3= Once a week; 4= Twice a week; 5= Three times a week; 6= More than three times a week",""
"hhb_psy_inter_c_yn_adhd","Integer","","Recommended","Is this intervention [hhb_psy_inter_adhd] currently being received?","0;1","0= No; 1= Yes",""
"hhb_psy_inter_l_rec_adhd","Integer","","Recommended","When was the intervention [hhb_psy_inter_adhd] last received? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_inter_yn_adhd_b","Integer","","Recommended","Does/Did the participant use another intervention besides medications to treat ADHD?","0;1","0= No; 1= Yes",""
"hhb_psy_inter_adhd_b","Integer","","Recommended","Which secondary intervention does/did the participant use to treat ADHD?","1::4","1= Therapy; 2= Electroconvulsive Therapy (ECT); 3= Transcranial Magnetic Stimulation (TMS); 4= Other",""
"hhb_psy_oth_inter_adhd_b","String","200","Recommended","Other Secondary Intervention for ADHD","","hhb_psy_inter_adhd_b = 4",""
"hhb_psy_inter_fq_adhd_b","Integer","","Recommended","Frequency for [hhb_psy_inter_adhd_b]","1::6","1= Once a month; 2= Once every other week; 3= Once a week; 4= Twice a week; 5= Three times a week; 6= More than three times a week",""
"hhb_psy_rx_fq","Integer","","Recommended","Frequency for [hhb_psy_rx_name]","1::6","1= Once a day; 2= Twice daily; 3= Three times daily; 4= Four times daily; 5= As needed; 6= Other",""
"hhb_psy_inter_c_yn_adhd_b","Integer","","Recommended","Is this intervention [hhb_psy_inter_adhd_b] currently being received?","0;1","0= No; 1= Yes",""
"hhb_psy_inter_l_rec_adhd_b","Integer","","Recommended","When was the intervention [hhb_psy_inter_adhd_b] last received? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_notes_adhd","String","4000","Recommended","Notes on ADHD","","if none, write ''n/a''",""
"hhb_psy_rx_an_fq","String","100","Recommended","Specify As Needed Dosing Schedule for [hhb_psy_rx_name]","","hhb_psy_rx_fq = 5",""
"hhb_psy_rx_oth_fq","String","100","Recommended","Other Frequency for [hhb_psy_rx_name]","","hhb_psy_rx_fq = 6",""
"hhb_psy_rx_c_yn","Integer","","Recommended","Is this medication [hhb_psy_rx_name] currently being taken?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_l_taken","Integer","","Recommended","When was medication [hhb_psy_rx_name]last taken? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_rx_yn_b","Integer","","Recommended","Does/did the participant take another medication to treat Psychiatric Illness [hhb_psy]?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_name_b","String","100","Recommended","Name of Secondary Medication to treat Psychiatric Illness [hhb_psy]","","",""
"hhb_psy_rx_rt_b","Integer","","Recommended","Route of Administration for [hhb_psy_rx_name_b]","1::5","1= Oral; 2= Sublingual; 3= Injection; 4= Inhaled; 5= Other",""
"hhb_psy_rx_oth_rt_b","String","100","Recommended","Other Route of Administration for [hhb_psy_rx_name_b]","","hhb_psy_rx_rt_b = 5",""
"hhb_psy_rx_ds_num_b","Integer","","Recommended","Dose (number) for [hhb_psy_rx_name_b]","","",""
"hhb_psy_rx_ds_u_b","Integer","","Recommended","Dose (unit) for [hhb_psy_rx_name_b]","1::4","1= Microgram (ug); 2= Milligram (mg); 3= Gram (g); 4= Other",""
"hhb_psy_rx_oth_ds_u_b","String","20","Recommended","Other Dose (unit) for [hhb_psy_rx_name_b]","","hhb_psy_rx_ds_u_b = 4",""
"hhb_psy_rx_fq_b","Integer","","Recommended","Frequency for [hhb_psy_rx_name_b]","1::6","1= Once a day; 2= Twice daily; 3= Three times daily; 4= Four times daily; 5= As needed; 6= Other",""
"hhb_psy_yn","Integer","","Recommended","Has the participant been diagnosed with psychiatric illnesses before?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_an_fq_b","String","100","Recommended","Specify As Needed Dosing Schedule for [hhb_psy_rx_name_b]","","hhb_psy_rx_fq_b = 5",""
"hhb_psy_rx_oth_fq_b","String","100","Recommended","Other Frequency for [hhb_psy_rx_name_b]","","hhb_psy_rx_fq_b = 6",""
"hhb_psy_rx_c_yn_b","Integer","","Recommended","Is this medication [hhb_psy_rx_name_b] currently being taken?","0;1","0= No; 1= Yes",""
"hhb_psy_rx_l_tk_b","Integer","","Recommended","When was medication [hhb_psy_rx_name_b] last taken? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
"hhb_psy_inter_yn","Integer","","Recommended","Does/Did the participant use any other interventions besides medications to treat Psychiatric Illness [hhb_psy]?","0;1","0= No; 1= Yes",""
"hhb_psy_inter","Integer","","Recommended","Which intervention does/did the participant use to treat Psychiatric Illness [hhb_psy]?","1::4","1= Therapy; 2= Electroconvulsive Therapy (ECT); 3= Transcranial Magnetic Stimulation (TMS); 4= Other",""
"hhb_psy_oth_inter","String","200","Recommended","Other Intervention to treat Psychiatric Illness [hhb_psy]","","hhb_psy_inter = 4",""
"hhb_psy_inter_fq","Integer","","Recommended","Frequency for [hhb_psy_inter]","1::6","1= Once a month; 2= Once every other week; 3= Once a week; 4= Twice a week; 5= Three times a week; 6= More than three times a week",""
"hhb_psy_inter_c_yn","Integer","","Recommended","Is this intervention [hhb_psy_inter] currently being received?","0;1","0= No; 1= Yes",""
"hhb_psy_inter_l_rec","Integer","","Recommended","When was the intervention [hhb_psy_inter] last received? (approximately)","1::10","1= Less than 1 month; 2= 1-6 months; 3= 6-12 months; 4= 1 year; 5= 2 years; 6= 3 years; 7= 4 years; 8= 5 years; 9= 6-10 years; 10= Greater than 10 years",""
